Label	ImageNumber	X_cordinate	Y_cordinate
SmoothDisc	1	25.346786248131536	19.844544095665167
CrenatedSpheroid	1	74.38107752956634	21.645203679369246
SmoothDisc	1	168.12730318257957	21.807370184254605
SmoothDisc	1	217.7168508287293	21.587016574585643
CrenatedSpheroid	1	119.89031339031341	24.149572649572647
Side	1	264.06779661016947	24.518644067796608
Side	1	71.99038461538461	69.35164835164835
SmoothDisc	1	117.54621848739497	70.01680672268907
CrenatedSpheroid	1	216.53114186851207	70.26989619377161
CrenatedSphere	1	22.72151898734177	71.49005424954792
CrenatedDiscoid	1	257.8992	70.6384
SmoothSphere	1	170.24772036474164	71.22948328267478
SmoothDisc	1	72.27055702917774	116.85941644562334
CrenatedDiscoid	1	216.1781767955801	118.25
CrenatedDiscoid	1	24.359635811836114	120.98179059180576
SmoothDisc	1	170.81934566145094	122.13371266002844
SmoothDisc	1	264.20656634746916	121.44870041039671
CrenatedDiscoid	1	118.68188105117564	122.9557399723375
CrenatedDisc_	1	26.33968804159445	164.79202772963606
SmoothDisc	1	72.79881656804734	165.81508875739644
CrenatedDisc_	1	168.8746312684366	166.95575221238937
CrenatedDiscoid	1	215.96476964769647	167.5149051490515
Side	1	263.99210110584517	167.71879936808847
CrenatedSphere	1	118.5148095909732	168.9816643159379
CrenatedSpheroid	1	24.765645805592545	212.288948069241
CrenatedSphere	1	122.0984654731458	215.7864450127877
SmoothDisc	1	71.98041958041958	218.5370629370629
SmoothSphere	2	166.2993079584775	19.946366782006923
SmoothDisc	2	23.954285714285717	22.018571428571423
SmoothDisc	2	215.6121842496285	21.367013372956905
Side	2	119.15817694369973	23.3739946380697
CrenatedSpheroid	2	310.1951566951567	23.41025641025641
SmoothDisc	2	71.62937062937063	25.08111888111889
CrenatedDisc_	2	267.85140562248995	26.10575635876841
CrenatedDiscoid	2	73.09681881051176	68.95573997233747
CrenatedDisc_	2	117.7256176853056	69.15864759427828
SmoothSphere	2	312.31758530183725	70.06299212598425
CrenatedSpheroid	2	217.14241001564946	70.33333333333333
SmoothDisc	2	22.802308802308804	72.4098124098124
SmoothSphere	2	166.50565428109854	73.43941841680127
CrenatedSpheroid	2	263.86315789473684	74.98195488721805
CrenatedDisc_	2	73.57604306864064	117.03364737550473
CrenatedSpheroid	2	24.747759282970552	117.99615877080666
SmoothSphere	2	213.2397660818713	118.45467836257313
SmoothDisc	2	260.8442857142857	117.28857142857143
SmoothSphere	2	118.3102453102453	118.43578643578644
Side	2	167.00883652430045	119.28129602356407
CrenatedDisc_	2	311.5615491009682	119.75933609958506
CrenatedDisc_	2	119.34626865671642	163.7223880597015
Side	2	21.357142857142858	164.6642857142857
