epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,2.125543525579611,2.125543525579611,2.3614103414795617,2.3614103414795617
1,2.038524706568929,2.038524706568929,2.148044385091223,2.148044385091223
2,1.9786656680596635,1.9786656680596635,7.298466459067181,7.298466459067181
3,1.9363107606774488,1.9363107606774488,2.264552203844292,2.264552203844292
4,1.9008245083599622,1.9008245083599622,2.116763121476679,2.116763121476679
5,1.86969708796224,1.86969708796224,4.256738922511689,4.256738922511689
6,1.8446706221416531,1.8446706221416531,2.365358974671725,2.365358974671725
7,1.8263116479061081,1.8263116479061081,2.5711117063206856,2.5711117063206856
8,1.8137757216220043,1.8137757216220043,2.4995934850338735,2.4995934850338735
9,1.802720879469939,1.802720879469939,1.9589837388408304,1.9589837388408304
10,1.7919996479339648,1.7919996479339648,3.13572611998428,3.13572611998428
11,1.7834005920416478,1.7834005920416478,2.5866343528032303,2.5866343528032303
12,1.7780542296899726,1.7780542296899726,2.069631403142756,2.069631403142756
13,1.7717042407644845,1.7717042407644845,2.624404807885488,2.624404807885488
14,1.7657124617477342,1.7657124617477342,2.202513048745165,2.202513048745165
15,1.758875281848575,1.758875281848575,2.813647752006849,2.813647752006849
16,1.7535724990286805,1.7535724990286805,2.2478088338417237,2.2478088338417237
17,1.7461749440463106,1.7461749440463106,3.0172448864187857,3.0172448864187857
18,1.744665245320138,1.744665245320138,2.422779854575191,2.422779854575191
19,1.7377418892673109,1.7377418892673109,2.503709052548264,2.503709052548264
20,1.7322109012438958,1.7322109012438958,3.209230756970367,3.209230756970367
21,1.6958563949186425,1.6958563949186425,2.295882783604391,2.295882783604391
22,1.6870188373497044,1.6870188373497044,1.8849709564537713,1.8849709564537713
23,1.6838188256233857,1.6838188256233857,3.1080484905026178,3.1080484905026178
24,1.678699488893056,1.678699488893056,2.081460231181347,2.081460231181347
25,1.6774658754574965,1.6774658754574965,2.296802045796255,2.296802045796255
26,1.6736021978575006,1.6736021978575006,1.9051901592750742,1.9051901592750742
27,1.673001346343188,1.673001346343188,2.024521932156399,2.024521932156399
28,1.6702822449551022,1.6702822449551022,2.070585111024404,2.070585111024404
29,1.6700624884195507,1.6700624884195507,2.31329743044846,2.31329743044846
30,1.6686247974471908,1.6686247974471908,2.127073696240632,2.127073696240632
31,1.6683072065259177,1.6683072065259177,1.735069760996284,1.735069760996284
32,1.663752735060881,1.663752735060881,1.9061871650393563,1.9061871650393563
33,1.664361208839555,1.664361208839555,2.1066194386644796,2.1066194386644796
34,1.6647103190055201,1.6647103190055201,2.1267650474352067,2.1267650474352067
35,1.6643673444823328,1.6643673444823328,2.1649225912611896,2.1649225912611896
36,1.6608407901887932,1.6608407901887932,2.1653808747427634,2.1653808747427634
37,1.6594925600831645,1.6594925600831645,2.351238718463315,2.351238718463315
38,1.658960641404029,1.658960641404029,2.070524421379422,2.070524421379422
39,1.65779340385704,1.65779340385704,1.8235559750235442,1.8235559750235442
40,1.657702476385877,1.657702476385877,1.734411606508674,1.734411606508674
41,1.6561232479879289,1.6561232479879289,2.232474466766974,2.232474466766974
42,1.655457378534344,1.655457378534344,1.9435405809469897,1.9435405809469897
43,1.6552124801830044,1.6552124801830044,2.1632978824352977,2.1632978824352977
44,1.6529339040961515,1.6529339040961515,1.9115018381012812,1.9115018381012812
45,1.6527614586168746,1.6527614586168746,2.220621404322711,2.220621404322711
46,1.6532736245246165,1.6532736245246165,2.864615905314985,2.864615905314985
47,1.6497366252754835,1.6497366252754835,2.120916739632987,2.120916739632987
48,1.650442203293563,1.650442203293563,3.269289262517534,3.269289262517534
49,1.6484289435046742,1.6484289435046742,2.2131877626584036,2.2131877626584036
50,1.6469793689756078,1.6469793689756078,2.160527424454087,2.160527424454087
51,1.6477506366551538,1.6477506366551538,2.0864922209370014,2.0864922209370014
52,1.643766421757378,1.643766421757378,1.6809296480031928,1.6809296480031928
53,1.6418721458393217,1.6418721458393217,1.6622909600234994,1.6622909600234994
54,1.6416396060851945,1.6416396060851945,1.6626407932301965,1.6626407932301965
55,1.6410902917672001,1.6410902917672001,1.7104106476963168,1.7104106476963168
56,1.6400895404484563,1.6400895404484563,1.6469059959053993,1.6469059959053993
57,1.641485600259661,1.641485600259661,1.652950154937277,1.652950154937277
58,1.6387326582016362,1.6387326582016362,1.6777593760628893,1.6777593760628893
59,1.6393806211368762,1.6393806211368762,1.650931145732451,1.650931145732451
60,1.6384202239357812,1.6384202239357812,1.6661627490562623,1.6661627490562623
61,1.6392160303109373,1.6392160303109373,1.659997358316123,1.659997358316123
62,1.6386954212004352,1.6386954212004352,1.7995767112482677,1.7995767112482677
63,1.6378299356080697,1.6378299356080697,1.7660882955398223,1.7660882955398223
64,1.6385630727670266,1.6385630727670266,1.8415354410506257,1.8415354410506257
65,1.636045935958598,1.636045935958598,1.757177811078351,1.757177811078351
66,1.6362936323089587,1.6362936323089587,1.6630223481492563,1.6630223481492563
67,1.6380793035129133,1.6380793035129133,1.675570402783577,1.675570402783577
68,1.6373946115022995,1.6373946115022995,1.6363812785106475,1.6363812785106475
69,1.6381950362991216,1.6381950362991216,1.6326027233341727,1.6326027233341727
70,1.6366553375999977,1.6366553375999977,1.6333946096475678,1.6333946096475678
71,1.6392029554985188,1.6392029554985188,1.6323453667338448,1.6323453667338448
72,1.637067420926813,1.637067420926813,1.63450344907816,1.63450344907816
73,1.6373010519261444,1.6373010519261444,1.6322225674685806,1.6322225674685806
74,1.6354860262835795,1.6354860262835795,1.63713710371292,1.63713710371292
75,1.637015286969149,1.637015286969149,1.6382214602346372,1.6382214602346372
76,1.6364059451534483,1.6364059451534483,1.6355290332376355,1.6355290332376355
77,1.636444968732504,1.636444968732504,1.632129644655218,1.632129644655218
78,1.6369915303064204,1.6369915303064204,1.6349809302976637,1.6349809302976637
79,1.634312892782277,1.634312892782277,1.6351821920034861,1.6351821920034861
80,1.6357239615444057,1.6357239615444057,1.633884045662302,1.633884045662302
81,1.6378738037047817,1.6378738037047817,1.6336856214235527,1.6336856214235527
82,1.637938919218264,1.637938919218264,1.6347374304978535,1.6347374304978535
83,1.6369162147088216,1.6369162147088216,1.6342287671686424,1.6342287671686424
84,1.6378797362411934,1.6378797362411934,1.6346841192606725,1.6346841192606725
85,1.6348748899038577,1.6348748899038577,1.6287950369143727,1.6287950369143727
86,1.6375330709615277,1.6375330709615277,1.6340716928996222,1.6340716928996222
87,1.6367978706249242,1.6367978706249242,1.6326673031605856,1.6326673031605856
88,1.6356691022815883,1.6356691022815883,1.6344810788228055,1.6344810788228055
89,1.636666479045248,1.636666479045248,1.6337815977708259,1.6337815977708259
90,1.636162091814088,1.636162091814088,1.6326866665422315,1.6326866665422315
91,1.638255724090056,1.638255724090056,1.6378241592284404,1.6378241592284404
92,1.637795070573543,1.637795070573543,1.6323158294715063,1.6323158294715063
93,1.6378265430488366,1.6378265430488366,1.6348360761096983,1.6348360761096983
94,1.6350548692540852,1.6350548692540852,1.6349548549212591,1.6349548549212591
95,1.636956985621579,1.636956985621579,1.6361067285290871,1.6361067285290871
96,1.6362229134132875,1.6362229134132875,1.6355853910849552,1.6355853910849552
97,1.637218594325329,1.637218594325329,1.632424601325483,1.632424601325483
98,1.6373182870327114,1.6373182870327114,1.6323522341371788,1.6323522341371788
99,1.6349751528460967,1.6349751528460967,1.6330532938091442,1.6330532938091442
100,1.6366441955527276,1.6366441955527276,1.633855054775874,1.633855054775874
101,1.6369311402988427,1.6369311402988427,1.6348000612824853,1.6348000612824853
102,1.6370093708848046,1.6370093708848046,1.6348202997686887,1.6348202997686887
103,1.6349669886512066,1.6349669886512066,1.6332186404803786,1.6332186404803786
104,1.6372182935318744,1.6372182935318744,1.635019955008921,1.635019955008921
105,1.6366734981423987,1.6366734981423987,1.631904846188998,1.631904846188998
106,1.6380744417624458,1.6380744417624458,1.6320764572180884,1.6320764572180884
107,1.6364678363345524,1.6364678363345524,1.6371169288953145,1.6371169288953145
108,1.6359347556164692,1.6359347556164692,1.635117522920623,1.635117522920623
